member_id,imotions,reports,speeches
124760,0,0,5
96711,0,0,4
189065,1,0,1
22858,0,0,6
72779,0,0,0
30482,0,0,33
5736,1,0,2
197494,0,0,10
197623,0,0,5
197533,0,0,13
197534,0,0,11
197574,0,0,1
197529,0,0,5
197589,0,0,3
197557,0,0,7
197543,0,0,4
197687,1,0,4
197502,0,0,3
135511,0,0,8
197628,1,0,4
197627,2,0,6
197697,0,1,2
131580,1,0,7
94649,2,0,1
197500,0,0,5
97236,0,0,8
197690,1,0,3
197694,0,0,7
197581,0,2,5
197503,0,0,2
197691,1,0,5
197577,0,0,0
204418,0,0,2
204419,0,0,2
236053,0,0,3
236050,0,0,3
245018,0,0,5
256921,0,0,3
256924,0,0,5
256899,0,0,2
256910,0,0,3
200345,0,0,3
256922,0,0,5
30123,0,0,4
256925,0,0,4
256913,0,0,3
256918,0,0,2
256872,0,0,6
256915,0,0,4
256878,2,0,0
256874,0,0,3
256876,1,0,5
256896,0,0,6
256883,1,0,4
256877,1,0,2
126699,1,0,5
256893,1,0,2
88552,1,0,6
256871,1,0,4
256888,1,0,5
256875,1,0,2
256917,0,0,7
256869,0,0,4
256886,1,0,6
256912,0,0,8
256908,0,0,3
256895,1,0,4
256882,1,0,4
256911,0,0,2
256901,0,0,7
256898,0,0,3
256904,0,0,5
256903,0,0,1
256902,0,0,1
256905,0,0,1
256870,0,0,1
256920,0,0,3
261796,0,0,0
261797,0,0,0
