id,old,new,procedure_ref
A9-0056/2024-48,NULL,(oa) Regulation (EU) No 1007/2011 of the European Parliament and of the Council on textile fibre names and related labelling and marketing of the fibre composition of textile products;,2023/0085(COD)
A9-0056/2024-145,NULL,This Directive shall apply to small enterprises within the meaning of Commission Recommendation 2003/361/EC by 42 months after its entry into force.,2023/0085(COD)
A9-0160/2023-69,"Member States shall bring into force the laws, regulations and administrative provisions necessary to comply with this Directive by two years after the date of entry into force of this Directive at the latest. They shall immediately communicate the text of those measures to the Commission.","With the exception of shorter time limits for transposition expressly set out for specific provisions of this Directive, Member States shall bring into force the laws, regulations and administrative provisions necessary to comply with this Directive by two years after the date of entry into force of this Directive at the latest. They shall immediately communicate the text of those measures to the Commission.",2022/0298(COD)
A9-0186/2023-2,Annex I to the Motion for a resolution,deleted,2020/2005(INL)
A9-0186/2023-3,Annex II to the Motion for a resolution,deleted,2020/2005(INL)
A9-0186/2023-5,8. Calls on the Commission to update and strengthen the 2014 Council Recommendation and to turn it into a stronger legislative instrument;,8. Calls on the Commission to update and strengthen the 2014 Council Recommendation;,2020/2005(INL)
A9-0186/2023-6,"10. Calls on the Commission to propose a directive on open labour market traineeships, traineeships in the context of ALMPs and traineeships that are a mandatory part of professional training, in order to ensure minimum quality standards, including rules on the duration of the traineeships, access to social protection in accordance with national law and practice as well as remuneration that ensures a decent standard of living in order to avoid exploitative practices, in accordance with the draft directive set out in Annex I;",deleted,2020/2005(INL)
A9-0186/2023-7,"30. Requests that the Commission submit a proposal for a decision of Parliament and of the Council, on the basis of Article 166(4) TFEU, on a QFT for traineeships undertaken with the aim of obtaining educational qualifications, in accordance with the draft decision set out in Annex II,;","30. Requests that the Commission submit a proposal to update the 2014 Council Recommendation on the basis of Article 292 TFEU, in conjunction with Articles 153 and 166 TFEU, following the recommendations set out in Annex II hereto;",2020/2005(INL)
A9-0186/2023-9,Proposal for a Decision of the European Parliament and the Council,Proposal for the Council Recommendation amending the Council Recommendation 2014/C 88/01 on a Quality Framework for Traineeships,2020/2005(INL)
A9-0357/2023-1,NULL,"89a. Stresses the need for an amendment to Council Regulation (EC) No 1967/2006 concerning management measures for the sustainable exploitation of fishery resources in the Mediterranean Sea, also known as the ‘Mediterranean Regulation’, which lays down rules on the technical characteristics of fishing gears and their uses and which is unfortunately outdated and as such presents an obstacle to fulfilling the main goals of the Common Fisheries Policy, particularly those related to small-scale fisheries;",2021/2169(INI)
A9-0357/2023-2,"82. Calls on the Commission to further increase science-based knowledge on the welfare of farmed aquatic animals and to take this research into consideration in future policy developments in aquaculture; stresses that, any future policy developments should also take practical feasibility into account in aquaculture management and should not add economic and operational burden to operators’ and activities, and should also consider the need to ensure an international level playing field;","82. Calls on the Commission to further increase science-based knowledge on the welfare of aquatic animals and to take this research into consideration in future policy developments in fisheries and aquaculture; stresses that, any future policy developments should also take practical feasibility into account in fisheries and aquaculture management and the potential economic and operational impact on operators’ and activities, and should also consider the need to ensure an international level playing field;",2021/2169(INI)
A9-0357/2023-5,"31. Calls on the Commission and the Council to consider setting TACs for longer than annual or biannual periods, in particular for the main target stocks, always based on the best scientific advice available, in order to provide more predictability and long-term certainty for fishers and in line with the MSY principle; calls on the Commission and the Council to seek the best available scientific advice on the possibility of removing the TACs for certain stocks, while ensuring that the stock concerned remains within safe biological limits in the short and medium term;","31. Calls on the Commission and the Council to consider setting TACs for longer than annual or biannual periods, in particular for the main target stocks, always based on the best scientific advice available, in order to provide more predictability and long-term certainty for fishers and in line with the MSY principle;",2021/2169(INI)
A9-0038/2023-8,NULL,The European Parliament rejects the Commission proposal.,2021/0136(COD)
A9-0034/2023-2,"N. whereas authoritarian governments, but also a worrying number of long- established democratic countries across the world, including within the EU, are increasingly adopting new kinds of tactics and restrictive measures against HRDs in order to censor their work and silence and harass them; whereas such measures include strategic lawsuits against public participation, restrictive government policies, defamation campaigns, discrimination and intimidation or violence, including killings, abductions, arbitrary arrest and detention; whereas a climate of impunity for violations committed against HRDs is prevailing in numerous countries around the world;","N. whereas authoritarian governments are increasingly adopting new kinds of tactics and restrictive measures against HRDs in order to censor their work and silence and harass them; whereas such measures include strategic lawsuits against public participation, restrictive government policies, defamation campaigns, discrimination and intimidation or violence, including killings, abductions, arbitrary arrest and detention; whereas a climate of impunity for violations committed against HRDs is prevailing in numerous countries around the world;",2021/2204(INI)
A9-0034/2023-3,"20. Underlines the importance of putting the protection of HRDs at the heart of the EU’s political engagement with and diplomatic agenda for third countries by aligning all EU external action in third countries with EU action to protect HRDs and promote their work; calls on the EEAS, the Commission and the Member States to prioritise:","20. Underlines the importance of putting the protection of HRDs higher on the EU’s political and diplomatic agenda for third countries; calls on the EEAS, the Commission and the Member States to prioritise:",2021/2204(INI)
A9-0034/2023-5,"28. Stresses that the EU should address climate protection as an integral human rights issue under its HRD policy and step up its action in support of those defending the climate and the environment, especially those environmental and indigenous peoples’ rights defenders who are most at risk; highlights the need to integrate HRD issues into EU climate diplomacy and assistance, including by promoting the genuine involvement of HRDs in the implementation and monitoring of climate cooperation programmes, projects and schemes and by vocally addressing restrictions on their effective participation and monitoring activities;",deleted,2021/2204(INI)
A9-0226/2023-1,"C. whereas the Palestinian leadership has recognised the state of Israel while calling for the establishment of a state of Palestine based on the pre-1967 borders, which has not been reciprocated by successive Israeli governments; whereas the Palestinian leadership has repeatedly called for renewed peace talks leading to a two-state solution;","C. whereas the Palestinian leadership has recognised the state of Israel while calling for the establishment of a state of Palestine based on the pre-1967 borders, which has not been reciprocated by successive Israeli governments; whereas the Palestinian leadership has repeatedly called for renewed peace talks leading to a two-state solution and has, 30 years after the signature of the Oslo Accords, fulfilled all its commitments while systematically being denied any further steps towards statehood and Palestinian self-determination by the Israeli authorities;",2021/2207(INI)
A9-0226/2023-2,"J. whereas the new Israeli Government has announced plans to advance and develop settlements in the West Bank in its Coalition Framework Agreement and Government Guidelines; whereas the first sentence of the Coalition Framework Agreement states that ‘the Jewish people have an exclusive and inalienable right to all parts of the Land of Israel ... the Galilee, the Negev, the Golan, and Judea and Samaria’;","J. whereas the new Israeli Government has announced plans to advance and develop settlements in the West Bank in its Coalition Framework Agreement and Government Guidelines; whereas the first sentence of the Coalition Framework Agreement states that ‘the Jewish people have an exclusive and inalienable right to all parts of the Land of Israel ... the Galilee, the Negev, the Golan, and Judea and Samaria’; whereas on 26 June the Israeli Ministry of Defence approved the construction of over 5 000 new settlement units in the occupied West Bank, in clear violation of international law;",2021/2207(INI)
A9-0226/2023-3,NULL,"La. whereas since the current Israeli Government took office, there has been a sharp increase in violence against Palestinians in the occupied West Bank and East Jerusalem; whereas this violence is often carried out by illegal settlers who are acting in coordination with the Israeli army, showing the paramilitary nature of the hard-line settler movement; whereas the last attack, carried out on the Jenin refugee camp from 3 July has included a series of land and air raids that killed at least eight Palestinians and destroyed homes and vital infrastructure;",2021/2207(INI)
A9-0226/2023-4,"AD. whereas Article 2 of the EU-Israel Association Agreement states that ‘relations between the Parties, as well as all the provisions of the Agreement itself, shall be based on respect for human rights and democratic principles, which guides their internal and international policy and constitutes an essential element of this Agreement’;","AD. whereas Article 2 of the EU-Israel Association Agreement states that ‘relations between the Parties, as well as all the provisions of the Agreement itself, shall be based on respect for human rights and democratic principles, which guides their internal and international policy and constitutes an essential element of this Agreement’; whereas, despite this, Israel continues to participate in EU funded programmes related to the development of military and surveillance technology that contributes to perpetuating the occupation, as well as developing projects funded by the EU in illegal Israeli settlements on Palestinian territory;",2021/2207(INI)
A9-0096/2023-3,NULL,"4a. Calls on the Commission to include plant-based proteins and fortified plant-based milk alternatives, as well as a wide variety of legumes, nuts and seeds, within the scope of the scheme;",2021/2205(INI)
A9-0226/2023-5,"(w) comply with the obligation to fully and effectively implement existing EU legislation and the bilateral arrangements applicable to settlement products, including ensuring their exclusion from the preferential customs regime and improving its effectiveness; ensure that the principle of legal differentiation between the territory of the state of Israel and the territories occupied since 1967 is applied consistently to the full scope of EU bilateral relations with Israel and properly monitored, in accordance with existing EU policies, the case-law of the Court of Justice of the EU and UN Security Council Resolution 2334 (2016) of 23 December 2016; commission an independent report on additional EU measures with regard to settlement products;","(w) comply with the obligation to fully and effectively implement existing EU legislation and the bilateral arrangements applicable to settlement products, including ensuring their exclusion from the preferential customs regime and improving its effectiveness; ensure that the principle of legal differentiation between the territory of the state of Israel and the territories occupied since 1967 is applied consistently to the full scope of EU bilateral relations with Israel and properly monitored, in accordance with existing EU policies, the case-law of the Court of Justice of the EU and UN Security Council Resolution 2334 (2016) of 23 December 2016; commission an independent report on additional EU measures with regard to settlement products, including legal acts to prevent imports to the EU originating in illegal Israeli settlements on occupied Palestinian territory or exporting to them;",2021/2207(INI)
A9-0226/2023-6,NULL,"Ca. whereas the leaders of Hamas, which is a recognised terrorist organisation, are calling for a one-state solution and the consequent destruction of the state of Israel, which is a cause for concern;",2021/2207(INI)
A9-0096/2023-7,NULL,14a. Stresses that the school scheme and the products supported therein should be consistent with the EU’s contribution to the targets of the Paris Agreement;,2021/2205(INI)
A9-0096/2023-8,"22. Recalls that procurement procedures, even simplified ones, should comply with the most economically advantageous tender (MEAT) criteria for award; highlights that the pursuit of the lowest price as the sole criterion in the procurement procedure is detrimental to the goals of the school scheme, as well as to the participation of small-scale farmers; insists that procurement procedures shall ensure that equal access and fair competition are in place so that large suppliers are not unfairly advantaged to the detriment of farmers participating in the scheme; stresses that priority should be given to local products and short supply chains, as well as to products supplied by producer organisations, agricultural cooperatives and farmer’s markets; highlights that the use of adequate minimal packaging in the transport and distribution of school scheme products should also be a criterion in purchasing decisions, taking into account the schools’ storage and cooling capacities and the need to preserve the quality and safety of products;","22. Recalls that procurement procedures, even simplified ones, should comply with the most economically advantageous tender (MEAT) criteria for award; highlights that the pursuit of the lowest price as the sole criterion in the procurement procedure is detrimental to the goals of the school scheme, as well as to the participation of small-scale farmers; insists that procurement procedures shall ensure that equal access and fair competition are in place so that large suppliers are not unfairly advantaged to the detriment of farmers participating in the scheme; stresses that priority should be given to local products and short supply chains, as well as to products supplied by producer organisations, agricultural cooperatives and farmer’s markets; highlights that the use of adequate yet minimal packaging in the transport and distribution of school scheme products, and the possibility of reusing such packaging, should also be a criterion in purchasing decisions, taking into account the schools’ storage and cooling capacities and the need to preserve the quality and safety of products;",2021/2205(INI)
A9-0226/2023-10,NULL,(m a). call on the PA to condemn any organisations that have ties to terrorists or terrorist organisations;,2021/2207(INI)
A9-0226/2023-37,NULL,"Oe. whereas out of the 21 organisations listed on the EU terror list, seven are Palestinian; whereas Hamas and other EU-listed Palestinian terror organisations use hybrid terror tactics, including knife and bomb attacks against Israeli civilians, as well as the firing of rockets from Gaza at Israel, seeking to deliberately hit civilian areas;",2021/2207(INI)
