ref,procedure,url
A9-0236/2021,2021/0008(COD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0236_FR.html
A9-0237/2021,2021/0009(COD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0237_FR.html
A9-0298/2021,2021/2002(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0298_FR.html
A9-0315/2021,2021/2020(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0315_FR.html
A9-0316/2021,2021/0127(NLE),https://www.europarl.europa.eu/doceo/document/A-9-2021-0316_FR.html
A9-0320/2021,2020/2222(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0320_FR.html
A9-0321/2021,2021/2077(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0321_FR.html
A9-0322/2021,2021/0328(COD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0322_FR.html
A9-0323/2021,2021/2019(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0323_FR.html
A9-0324/2021,2020/2001(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0324_FR.html
A9-0328/2021,2021/2163(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0328_FR.html
A9-0330/2021,2020/2221(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0330_FR.html
A9-0331/2021,2021/2005(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0331_FR.html
A9-0332/2021,2020/0374(COD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0332_FR.html
A9-0333/2021,2021/0146(COD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0333_FR.html
A9-0335/2021,2010/0112(NLE),https://www.europarl.europa.eu/doceo/document/A-9-2021-0335_FR.html
A9-0337/2021,2012/0060(COD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0337_FR.html
A9-0338/2021,2020/2035(INL),https://www.europarl.europa.eu/doceo/document/A-9-2021-0338_FR.html
A9-0343/2021,2021/0359(BUD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0343_FR.html
A9-0344/2021,2021/0356(BUD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0344_FR.html
A9-0345/2021,2021/0337(BUD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0345_FR.html
A9-0346/2021,2021/0338(BUD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0346_FR.html
A9-0347/2021,2021/0161(NLE),https://www.europarl.europa.eu/doceo/document/A-9-2021-0347_FR.html
B9-0587/2021,2021/2986(RSP),https://www.europarl.europa.eu/doceo/document/B-9-2021-0587_FR.html
B9-0588/2021,2021/2978(RSP),https://www.europarl.europa.eu/doceo/document/B-9-2021-0588_FR.html
B9-0591/2021,2021/2885(RSP),https://www.europarl.europa.eu/doceo/document/B-9-2021-0591_FR.html
C9-0381/2021,,
RC-B9-0581/2021,2021/3000(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0581_FR.html
RC-B9-0589/2021,2021/3019(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0589_FR.html
RC-B9-0594/2021,2021/3010(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0594_FR.html
RC-B9-0600/2021,2021/3020(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0600_FR.html
RC-B9-0604/2021,2021/3018(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0604_FR.html
A9-0001/2021,2020/2013(INI),https://www.europarl.europa.eu/doceo/document/A-9-2021-0001_FR.html
A9-0133/2020,2019/0273(COD),https://www.europarl.europa.eu/doceo/document/A-9-2020-0133_FR.html
A9-0173/2020,2020/0103(COD),https://www.europarl.europa.eu/doceo/document/A-9-2020-0173_FR.html
A9-0174/2020,2020/0105(COD),https://www.europarl.europa.eu/doceo/document/A-9-2020-0174_FR.html
A9-0210/2020,2019/2194(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0210_FR.html
A9-0227/2020,2020/0154(COD),https://www.europarl.europa.eu/doceo/document/A-9-2020-0227_FR.html
A9-0229/2020,2020/2121(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0229_FR.html
A9-0232/2020,2019/2168(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0232_FR.html
A9-0234/2020,2019/2169(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0234_FR.html
A9-0246/2020,2019/2181(INL),https://www.europarl.europa.eu/doceo/document/A-9-2020-0246_FR.html
A9-0247/2020,2019/2187(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0247_FR.html
A9-0248/2020,2019/2207(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0248_FR.html
A9-0250/2020,2020/2020(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0250_FR.html
A9-0251/2020,2019/2192(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0251_FR.html
A9-0259/2020,2020/2208(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0259_FR.html
A9-0264/2020,2019/2162(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0264_FR.html
A9-0265/2020,2020/2207(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0265_FR.html
A9-0266/2020,2020/2206(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0266_FR.html
A9-0268/2020,2020/0205(NLE),https://www.europarl.europa.eu/doceo/document/A-9-2020-0268_FR.html
A9-0269/2020,2020/2115(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0269_FR.html
A9-0270/2020,2019/2132(INI),https://www.europarl.europa.eu/doceo/document/A-9-2020-0270_FR.html
B9-0052/2021,2020/2863(RSP),https://www.europarl.europa.eu/doceo/document/B-9-2021-0052_FR.html
RC-B9-0056/2021,2021/2508(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0056_FR.html
RC-B9-0057/2021,2021/2504(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0057_FR.html
RC-B9-0068/2021,2021/2505(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0068_FR.html
RC-B9-0072/2021,2021/2506(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0072_FR.html
RC-B9-0077/2021,2021/2507(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0077_FR.html
RC-B9-0090/2021,2021/2513(RSP),https://www.europarl.europa.eu/doceo/document/RC-9-2021-0090_FR.html
A9-0216/2021,2020/0321(COD),https://www.europarl.europa.eu/doceo/document/A-9-2021-0216_FR.html
A9-0356/2021,2020/0361(CNS),https://www.europarl.europa.eu/doceo/document/A-9-2021-0356_FR.html
B9-0057/2022,2021/2736(RSP),https://www.europarl.europa.eu/doceo/document/B-9-2022-0057_FR.html
B9-0061/2022,2021/2913(DEA),https://www.europarl.europa.eu/doceo/document/B-9-2022-0061_FR.html
