reference,date,title,type,subject,status,url
2022/2894(RSP),2022-10-18,Résolution sur la multiplication des crimes inspirés par la haine contre des personnes LGBTIQ+ à travers l’Europe compte tenu du récent meurtre homophobe en Slovaquie,RSP,"[""4.10.08"", ""7.30.30"", ""1.10""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2894(RSP)&l=fr
2020/0258(NLE),2020-09-18,Accord relatif au transport international occasionnel de voyageurs par autocar ou par autobus (accord Interbus): transport international régulier et régulier spécial de voyageurs par autocar ou par autobus. Protocole,NLE,"[""3.20.05"", ""3.20.15.04""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/0258(NLE)&l=fr
2022/2839(RSP),2023-02-14,Résolution sur les priorités de l’Union européenne pour la 67e session de la commission de la condition de la femme des Nations unies,RSP,"[""4.10.09"", ""6.40.13""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/2839(RSP)&l=fr
2020/2631(RSP),2020-05-13,"Résolution sur le nouveau cadre financier pluriannuel, les ressources propres et le plan de relance",RSP,"[""8.70.01""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2631(RSP)&l=fr
2019/2082(DEC),2019-06-27,Décharge 2018: Agence de l'Union européenne pour la formation des services répressifs (CEPOL),DEC,"[""8.70.03.08""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2019/2082(DEC)&l=fr
2021/0183(NLE),2021-07-06,Convention de La Haye (1980) sur les aspects civils de l'enlèvement international d'enfants: adhésion de la Bolivie,NLE,"[""7.40.02"", ""4.10.02"", ""4.10.03"", ""Bolivie"", ""Pays""]",En attente de décision finale,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2021/0183(NLE)&l=fr
2022/0419(NLE),2022-12-15,AccordUE/Japon: services aériens,NLE,"[""Japon"", ""Pays"", ""3.20.15.02""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/0419(NLE)&l=fr
2023/2809(RSP),2023-10-03,"Résolution sur le projet de décision d’exécution de la Commission autorisant la mise sur le marché de produits contenant du maïs génétiquement modifié MON 89034 × 1507 × MIR162 × NK603 × DAS-40278-9 et neuf sous-combinaisons, consistant en ce maïs ou produits à partir de celui-ci, en application du règlement (CE) nº 1829/2003 du Parlement européen et du Conseil",RSP,"[""3.10.09.06""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2023/2809(RSP)&l=fr
2020/2215(INI),2020-10-22,"Situation de la santé et des droits sexuels et génésiques dans l’Union européenne, dans le contexte de la santé des femmes",INI,"[""4.20.06"", ""4.10.09""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2020/2215(INI)&l=fr
2022/0143(BUD),2022-05-10,Mobilisation du Fonds européen d’ajustement à la mondialisation: licenciements dans le secteur du transport aérien en France,BUD,"[""8.70.52"", ""3.20.01"", ""4.15.05"", ""France"", ""Pays""]",Procédure terminée,https://oeil.secure.europarl.europa.eu/oeil/popups/ficheprocedure.json?reference=2022/0143(BUD)&l=fr
