date,doc,author,type,rcv,amendment,split,result,votes,remarks,url
2019-07-03,B9-0001/2019,,ADOPTION,False,,,ADOPTED,,,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-03-VOT_FR.html
2019-07-17,B9-0005/2019,,ADOPTION,False,,,ADOPTED,,,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-17-VOT_FR.html
2019-07-18,RC-B9-0013/2019,GUE/NGL,AMENDMENT,False,1,,REJECTED,,,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0013/2019,GUE/NGL,AMENDMENT,False,2,,REJECTED,,,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0013/2019,GUE/NGL,AMENDMENT,False,3,,REJECTED,,,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0013/2019,,ADOPTION,False,,,ADOPTED,,,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0014/2019,texte original,SEPARATE,True,,,ADOPTED,"[311, 269, 33]",,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0014/2019,texte original,SEPARATE,True,,,ADOPTED,"[437, 155, 33]",,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0014/2019,texte original,SEPARATE,True,,,ADOPTED,"[441, 158, 27]",,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0014/2019,GUE/NGL,AMENDMENT,False,2,,REJECTED,"[259, 332, 18]",,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0014/2019,texte original,SEPARATE,True,,,ADOPTED,"[466, 146, 41]",,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
2019-07-18,RC-B9-0014/2019,texte original,SEPARATE,True,,,ADOPTED,"[353, 226, 72]",,https://www.europarl.europa.eu/doceo/document/PV-9-2019-07-18-VOT_FR.html
